-- NanamiOS SDK record --		

	When working on the OS, place each build record in here.
You update this file when you enter the terminal and perform an
action in the makefile. I should note that you probably should
be using Linux (preferably, Ubuntu Linux or Linux Mint, Mint is
recommended but I'm using Ubuntu Linux 23.04) to do the work on
this OS directly (like the kernel, interrupts, drivers, and the
ISO disc image.

date				ver		target/topic		action
2023 Nov. 07 11:02 AM EST	1.00.26B	NanamiOS BIN		Renamed "sphxkskernel.bin" to "sphxkskernel_1.00.26b.bin"
2023 Nov. 07 11:01 AM EST	1.00.26B	Makefile		Compiled nanami_os.iso
2023 Nov. 07 11:01 AM EST	1.00.26B	Makefile		Compiled sphxkskernel.bin
2023 Nov. 07 11:01 AM EST	1.00.26B	Makefile		Compiled src._.kernel.o
2023 Nov. 07 10:56 AM EST	1.00.26B	Error Details		159:18 in src._.kernel.cpp: error: expected unqualified-id before '.' token
2023 Nov. 07 10:56 AM EST	1.00.26B	Error Details		156:61 in src._.kernel.cpp: error: expected ';' before 'PCIController'
2023 Nov. 07 10:56 AM EST	1.00.26B	Makefile		Encountered an error trying to compile src._.kernel.o
2023 Nov. 07 10:56 AM EST	1.00.26B	Makefile		Encountered an error trying to compile src._.kernel.o
2023 Nov. 07 10:53 AM EST	1.00.26B	Developer Note		I overwrote the 26A PCI and kernel object files. To revert them to 26A, just edit the pci and kernel C++ files and remove the normal splash comment pins and add comment pins (// form) to each of the "printf("...");" codes either following a tech load or at the start of the kernel.
2023 Nov. 07 10:53 AM EST	1.00.26B	Makefile		Compiled B-type src.hwcom.pci.o
2023 Nov. 07 10:53 AM EST	1.00.26A	NanamiOS BIN		Renamed to "sphkxskernel_1.00.26a.bin"
2023 Nov. 07 10:52 AM EST	1.00.26B	NanamiOS Kernel		Inverted NanamiOS kernel comment pins.
2023 Nov. 07 10:52 AM EST	1.00.26B	NanamiOS PCI Control	Inverted NanamiOS PCI Control comment pins.
2023 Nov. 07 10:50 AM EST	1.00.26		NanamiOS ISO File	Renamed current NanamiOS ISO file to "NanamiOS_1.00.26A.iso".
2023 Nov. 07 10:33 AM EST	1.00.26		NanamiOS ISO File	Deleted old NanamiOS ISO file, "NanamiOS_1.00.25.iso"
2023 Nov. 07 10:32 AM EST	1.00.26		NanamiOS ISO File	Renamed current NanamiOS ISO file to "NanamiOS_1.00.26.iso"
2023 Nov. 07 10:31 AM EST	1.00.26		Makefile		Compiled nanami_os.iso
2023 Nov. 07 10:31 AM EST	1.00.26		Makefile		Compiled sphxkskernel.bin successfully.
2023 Nov. 07 10:30 AM EST	1.00.26		Makefile		Recompiled src.hwcom.pci.o
2023 Nov. 07 10:27 AM EST	1.00.26		Brief Patch Note	Fixed a typo in the kernel BIN name (shpxks is not correct, it's supposed to be sphxks)
2023 Nov. 07 10:25 AM EST	1.00.26		Error Details		pci.cpp (.text+0x31f): Undefined reference to 'PCIDevDesc::PCIDevDesc()'
2023 Nov. 07 10:25 AM EST	1.00.26		Error Details		pci.cpp (.text+0x2b1): Undefined reference to 'PCIDevDesc::~PCIDevDesc()'
2023 Nov. 07 10:24 AM EST	1.00.26		Makefile		Failed to compile shpxkskernel.bin
2023 Nov. 07 10:24 AM EST	1.00.26		Makefile		Compiled src._.kernel.o
2023 Nov. 07 10:23 AM EST	1.00.26		Makefile		Compiled src.drivers.keyboard.o
2023 Nov. 07 10:22 AM EST	1.00.26		Makefile		Compiled src.hwcom.pci.o
2023 Nov. 07 10:18 AM EST	1.00.26		Error Details		71:44 src.hwcom.pci.cpp - lvalue required as left operand of assignment
2023 Nov. 07 10:14 AM EST	1.00.26		Note			I finally figured out how to do multi-line object files in the makefile.
2023 Nov. 07 10:14 AM EST	1.00.26		Makefile		Error occurred at 71:44 in src.hwcom.pci.cpp while trying to compile src.hwcom.pci.o
2023 Nov. 07 10:12 AM EST	1.00.26		Makefile		Another error occurred while trying to compile src.hwcom.pci.o
2023 Nov. 07 10:11 AM EST	1.00.26		Makefile		Another error occurred while trying to compile src.hwcom.pci.o
2023 Nov. 07 10:10 AM EST	1.00.26		Makefile		Another error occurred while trying to compile src.hwcom.pci.o
2023 Nov. 07 10:02 AM EST	1.00.26		Makefile		Another error occurred while trying to compile src.hwcom.pci.o
2023 Nov. 07 10:00 AM EST	1.00.26		Makefile		Error trying to compile src.hwcom.pci.o
2023 Nov. 07 10:00 AM EST	1.00.26		General NanamiOS	Build is ready to compile
2023 Nov. 07 09:45 AM EST	1.00.26		General NanamiOS	Completed base code for PCI.
2023 Nov. 06 08:21 AM EST	1.00.26		SuperGuide		Finished the SuperGuide.
2023 Nov. 04 05:43 PM EST	1.00.26		Note			I forgot to document things TT_TT
2023 Nov. 03 03:26 PM EST	1.00.26		General NanamiOS	Removed old object files.
2023 Nov. 03 03:25 PM EST	1.00.25		General NanamiOS	Archived this build.
2023 Nov. 03 11:51 AM EST	1.00.25		NanamiOS ISO File	Renamed current NanamiOS ISO file to "NanamiOS_1.00.25.iso"
2023 Nov. 03 11:51 AM EST	1.00.25		NanamiOS ISO File	Deleted old NanamiOS ISO file, "NanamiOS_1.00.24.iso"
2023 Nov. 03 11:50 AM EST	1.00.25		Makefile		Compiled nanami_os.iso
2023 Nov. 03 11:50 AM EST	1.00.25		Makefile		Compiled shpxkskernel.bin
2023 Nov. 03 11:49 AM EST	1.00.25		Makefile		Compiled src._.kernel.o
2023 Nov. 03 11:49 AM EST	1.00.25		Makefile		Compiled src.drivers.keyboard.o
2023 Nov. 03 11:49 AM EST	1.00.25		Makefile		Compiled src.drivers.mouse.o
2023 Nov. 03 11:48 AM EST	1.00.25		General NanamiOS	Three files to be compiled1
2023 Nov. 03 11:47 AM EST	1.00.25		General NanamiOS	Updated version pointers.
2023 Nov. 03 11:47 AM EST	1.00.25		SuperGuide		The SuperGuide isn't finished, but is in a good-enough state, I guess?
2023 Nov. 03 07:27 AM EST	1.00.24		General NanamiOS	Archived this build.
2023 Nov. 03 07:26 AM EST	1.00.24		NanamiOS ISO File	Renamed current NanamiOS ISO file to "NanamiOS_1.00.24.iso"
2023 Nov. 03 07:25 AM EST	1.00.24		NanamiOS ISO File	Deleted old NanamiOS ISO file, "NanamiOS_1.00.23.iso"
2023 Nov. 02 08:40 PM EST	1.00.24		Makefile		Compiled nanami_os.iso
2023 Nov. 02 08:40 PM EST	1.00.24		Makefile		Compiled shpxkskernel.bin
2023 Nov. 02 08:39 PM EST	1.00.24		Makefile		Recompiled src.hwcom.interrupts.o
2023 Nov. 02 08:29 PM EST	1.00.24		Makefile		Encountered 20 errors in "src.hwcom.interrupts.cpp" when trying to compile shpxkskernel.bin
2023 Nov. 02 08:28 PM EST	1.00.24		Makefile		Compiled src._.kernel.o
2023 Nov. 02 08:25 PM EST	1.00.24		Makefile		Ran into error at 92:39 in src._.kernel.cpp
2023 Nov. 02 08:25 PM EST	1.00.24		Makefile		Ran into error at 91:39 in src._.kernel.cpp
2023 Nov. 02 08:25 PM EST	1.00.24		Makefile		Ran into error at 90:39 in src._.kernel.cpp
2023 Nov. 02 08:25 PM EST	1.00.24		Makefile		Ran into error at 90:16 in src._.kernel.cpp
2023 Nov. 02 08:25 PM EST	1.00.24		Makefile		Ran into error at 87:28 in src._.kernel.cpp
2023 Nov. 02 08:24 PM EST	1.00.24		Makefile		Compiled src.hwcom.interrupts.o
2023 Nov. 02 08:18 PM EST	1.00.24		Makefile		Ran into error at 8:1 in src.hwcom.interrupts.cpp
2023 Nov. 02 08:09 PM EST	1.00.24		Makefile		Compiled src.hwcom.interruptstubs.o
2023 Nov. 02 08:08 PM EST	1.00.24		Makefile		Compiled src.drivers.keyboard.o
2023 Nov. 02 08:07 PM EST	1.00.24		Makefile		Ran into same issue set
2023 Nov. 02 08:07 PM EST	1.00.24		Makefile		Compiled src.drivers.mouse.o
2023 Nov. 02 07:59 PM EST	1.00.24		Makefile		Encountered error while compiling src.drivers.mouse.o (33:26)
2023 Nov. 02 07:59 PM EST	1.00.24		Makefile		Encountered error while compiling src.drivers.mouse.o (33:20)
2023 Nov. 02 07:58 PM EST	1.00.24		General NanamiOS	Updated build pointers.
2023 Nov. 02 12:52 PM EST	1.00.23		Note			Build 23's archive has a lot of Build 24 stuff. Just use Build 22 for reference... >_<
2023 Nov. 02 12:51 PM EST	1.00.23		General NanamiOS	Archived this build.
2023 Nov. 02 12:05 PM EST	1.00.23		NanamiOS ISO File	Deleted old NanamiOS ISO, aka "NanamiOS_1.00.22.iso"
2023 Nov. 02 12:05 PM EST	1.00.23		NanamiOS ISO File	Renamed "nanami_os.iso" to "NanamiOS_1.00.23.iso"
2023 Nov. 02 12:04 PM EST	1.00.23		Makefile		Composed new nanami_os.iso (NanamiOS_1.00.23.iso)
2023 Nov. 02 12:02 PM EST	1.00.23		Makefile		Compiled shpxkskernel.bin
2023 Nov. 02 12:02 PM EST	1.00.23		Makefile		Patched typo in makefile
2023 Nov. 02 12:01 PM EST	1.00.23		Makefile		Issue encountered while trying to compile shpxkskernel.bin
2023 Nov. 02 12:01 PM EST	1.00.23		Makefile		Compiled src._.kernel.o
2023 Nov. 02 12:00 PM EST	1.00.23		Makefile		Compiled src.drivers.mouse.o
2023 Nov. 02 11:59 AM EST	1.00.23		Makefile		Compiled src.drivers.keyboard.o
2023 Nov. 02 11:59 AM EST	1.00.23		Makefile		Compiled src.drivers.driver.o
2023 Nov. 02 11:58 AM EST	1.00.23		Makefile		Compiled src.hwcom.interrupts.o
2023 Nov. 02 11:58 AM EST	1.00.23		Makefile		Compiled src.hwcom.interruptstubs.o
2023 Nov. 02 11:57 AM EST	1.00.23		Makefile		Compiled src.hwcom.port.o
2023 Nov. 02 11:56 AM EST	1.00.23		Makefile		Compiled src._.gdt.o
2023 Nov. 02 11:56 AM EST	1.00.23		Makefile		Compiled src._.loader.o
2023 Nov. 02 11:54 AM EST	1.00.23		General NanamiOS	Finished initial relinking of most files.
2023 Nov. 02 10:31 AM EST	1.00.23		General NanamiOS	Transferred file names.
2023 Nov. 02 10:22 AM EST	1.00.23		General NanamiOS	Removed sub-directories.
2023 Nov. 02 08:54 AM EST	1.00.23		General NanamiOS	Reverted directory to all-in-one directory. I will instead sort each set of files.
2023 Nov. 02 08:46 AM EST	1.00.23		General NanamiOS	Moved H files to include folder
2023 Nov. 02 08:34 AM EST	1.00.23		kernel.cpp		Fixed the top-line version pointer.
2023 Nov. 02 08:31 AM EST	1.00.23		Makefile		Updated kernel.o
2023 Nov. 02 08:31 AM EST	1.00.23		Makefile		Updated keyboard.o
2023 Nov. 02 08:30 AM EST	1.00.23		General NanamiOS	Updated version pointers code.
2023 Nov. 02 08:15 AM EST	1.00.22		General NanamiOS	Archived this build.
2023 Nov. 01 11:25 PM EST	1.00.22		NanamiOS ISO File	Renamed current NanamiOS ISO to "NanamiOS_1.00.22.iso"
2023 Nov. 01 11:25 PM EST	1.00.22		NanamiOS ISO File	Deleted old NanamiOS ISO (NanamiOS_1.00.21.iso)
2023 Nov. 01 11:24 PM EST	1.00.22		Makefile		Composed nanami_os.iso
2023 Nov. 01 11:24 PM EST	1.00.22		Makefile		Compiled shpxkskernel.bin
2023 Nov. 01 11:23 PM EST	1.00.22		Makefile		Compiled kernel.o
2023 Nov. 01 11:22 PM EST	1.00.22		Makefile		Encountered error while compiling kernel.o (view 97:10 kernel.cpp - 'offset' was not declared in this scope; ...)
2023 Nov. 01 11:19 PM EST	1.00.22		Makefile		Encountered error while compiling kernel.o (view 180:37 kernel.cpp - 'mousehandler' was not declared in this scope)
2023 Nov. 01 11:19 PM EST	1.00.22		Makefile		Encountered error while compiling kernel.o (view 97:10 kernel.cpp - 'buffer' was not declared in this scope)
2023 Nov. 01 11:18 PM EST	1.00.22		kernel.cpp		Attempted to see if one of the errors could be fixed
2023 Nov. 01 11:15 PM EST	1.00.22		Makefile		Enountered error while compiling kernel.o (view 180:34 kernel.cpp)
2023 Nov. 01 11:15 PM EST	1.00.22		Makefile		Encountered error while compiling kernel.o (view 97:10 kernel.cpp)
2023 Nov. 01 11:14 PM EST	1.00.22		Makefile		Checked driver.o; it's already up-to-date
2023 Nov. 01 11:14 PM EST	1.00.22		Makefile		Compiled mouse.o
2023 Nov. 01 11:14 PM EST	1.00.22		Makefile		Compiled keyboard.o
2023 Nov. 01 11:13 PM EST	1.00.22		Makefile		Compiled interrupts.o
2023 Nov. 01 11:13 PM EST	1.00.22		General NanamiOS	Finished making changes.
2023 Nov. 01 11:09 PM EST	1.00.22		Garbage Code		Disposed a chunk of code in mouse.cpp
2023 Nov. 01 10:51 PM EST	1.00.19.b2	b2 Lab Branch NanamiOS	Testing failed for this copy. Do NOT transfer 1.00.7's GDT format to latest build!
2023 Nov. 01 10:48 PM EST	1.00.19.b2	b2 Lab Branch NanamiOS	Renamed the mentioned ISO.
2023 Nov. 01 10:47 PM EST	1.00.19.b2	b2 Lab Branch NanamiOS	Compiled new nanami_os.iso
2023 Nov. 01 10:46 PM EST	1.00.19.b2	b2 Lab Branch NanamiOS	Compiled new shpxkskernel.bin
2023 Nov. 01 10:46 PM EST	1.00.19.b2	b2 Lab Branch NanamiOS	Compiled new gdt.o
2023 Nov. 01 10:44 PM EST	1.00.19.b2	b2 Lab Branch NanamiOS	Created branch for testing GDT and mouse driver.
2023 Nov. 01 04:59 PM EST	1.00.22		General NanamiOS	End of development session B.20231101 - development to continue soon.
2023 Nov. 01 02:57 PM EST	1.00.22		General NanamiOS	End of development session A.20231101 - development to continue soon.
2023 Nov. 01 01:58 PM EST	1.00.22		Makefile		Updated keyboard.o
2023 Nov. 01 01:58 PM EST	1.00.22		Makefile		Updated kernel.o
2023 Nov. 01 01:57 PM EST	1.00.22		General NanamiOS	Updated version pointers code.
2023 Nov. 01 01:56 PM EST	1.00.21		General NanamiOS	Archived this build.
2023 Nov. 01 01:55 PM EST	1.00.21		NanamiOS ISO File	Renamed current NanamiOS ISO file to "NanamiOS_1.00.21.iso".
2023 Nov. 01 01:54 PM EST	1.00.21		NanamiOS ISO File	Deleted old NanamiOS ISO file (NanamiOS_1.00.20.iso)
2023 Nov. 01 01:54 PM EST	1.00.21		Makefile		Composed new nanami_os.iso
2023 Nov. 01 01:53 PM EST	1.00.21		Makefile		Compiled shpxkskernel.bin
2023 Nov. 01 01:52 PM EST	1.00.21		kernel.o Note		...i forgot what i was gonna say.
2023 Nov. 01 01:51 PM EST	1.00.21		Makefile		Compiled kernel.o
2023 Nov. 01 01:50 PM EST	1.00.21		Makefile		Encountered error while compiling kernel.o (view 79:2 kernel.cpp)
2023 Nov. 01 01:49 PM EST	1.00.21		keyboard.o Note		I patched the driver so it doesn't have the potential to cause an overflow by hitting the tab key.
2023 Nov. 01 01:49 PM EST	1.00.21		Makefile		Compiled keyboard.o
2023 Nov. 01 01:48 PM EST	1.00.21		Makefile		Encountered error while compiling keyboard.o
2023 Nov. 01 01:46 PM EST	1.00.21		keyboard.o Warning	78:43 keyboard.cpp: The tab key may cause an overflow!
2023 Nov. 01 01:45 PM EST	1.00.21		Makefile		Compiled keyboard.o
2023 Nov. 01 01:45 PM EST	1.00.21		Makefile		Checked mouse.o compilation.
2023 Nov. 01 01:43 PM EST	1.00.21		Makefile		Compiled interrupts.o
2023 Nov. 01 01:41 PM EST	1.00.21		Cross-build NanamiOS	Restored snippet of code in 1.00.21 with snippet from 1.00.20
2023 Nov. 01 01:38 PM EST	1.00.21		Makefile		Encountered error while compiling interrupts.o
2023 Nov. 01 01:37 PM EST	1.00.21		Makefile		Checked driver.o compilation.
2023 Nov. 01 01:36 PM EST	1.00.21		General NanamiOS	Initial development block completed
2023 Nov. 01 01:28 PM EST	1.00.21		General NanamiOS	Development may be temporarily halted.
2023 Nov. 01 01:27 PM EST	1.00.21		General NanamiOS	Steel64, Steel32 and SteelDOS modes have been predominantly scrapped.
2023 Nov. 01 12:10 PM EST	1.00.21		keyboard.cpp		Added "break;" to the ends of the macro-commands, as they probably should have had.
2023 Nov. 01 11:53 AM EST	1.00.21		Makefile		Updated kernel.o
2023 Nov. 01 11:53 AM EST	1.00.21		Makefile		Updated keyboard.o
2023 Nov. 01 11:52 AM EST	1.00.21		General NanamiOS	Updated version pointers code.
2023 Nov. 01 11:50 AM EST	1.00.20		General NanamiOS	Archived this build.
2023 Nov. 01 11:49 AM EST	1.00.20		Note			The compilation went off without a hitch! What about the testing?
2023 Nov. 01 11:46 AM EST	1.00.20		NanamiOS ISO		Renamed current NanamiOS ISO file to "NanamiOS_1.00.20.iso".
2023 Nov. 01 11:45 AM EST	1.00.20		NanamiOS ISO		Deleted old NanamiOS ISO file (NanamiOS_1.00.19.iso)
2023 Nov. 01 11:44 AM EST	1.00.20		Makefile		Compiled new nanami_os.iso
2023 Nov. 01 11:43 AM EST	1.00.20		Makefile		Compiled shpxkskernel.bin
2023 Nov. 01 11:42 AM EST	1.00.20		Makefile		Compiled kernel.o
2023 Nov. 01 11:42 AM EST	1.00.20		Makefile		Compiled driver.o
2023 Nov. 01 11:41 AM EST	1.00.20		Makefile		Compiled keyboard.o
2023 Nov. 01 11:41 AM EST	1.00.20		Makefile		Compiled mouse.o
2023 Nov. 01 11:40 AM EST	1.00.20		General NanamiOS	Finished base development of 1.00 Build 20.
2023 Nov. 01 11:18 AM EST	1.00.20		Makefile		Compiled new loader.o
2023 Nov. 01 11:17 AM EST	1.00.20		loader.s		Finished some jobs
2023 Nov. 01 10:42 AM EST	1.00.20		kernel.cpp		Added and made a slight modification to some code stored in "garbagecode.txt"
2023 Nov. 01 09:38 AM EST	1.00.20		mouse.cpp		Made the printf line dormant.
2023 Oct. 31 02:59 PM EST	1.00.20		General NanamiOS	End of dev session A.
2023 Oct. 31 02:24 PM EST	1.00.20		Makefile		Compiled keyboard.o
2023 Oct. 31 02:23 PM EST	1.00.20		Makefile		Failed to compile keyboard.o - Missing semicolon!
2023 Oct. 31 02:23 PM EST	1.00.20		kernel.cpp		Created a boot screen.
2023 Oct. 31 02:22 PM EST	1.00.20		keyboard.cpp		Added an F4 macro-command.
2023 Oct. 31 01:58 PM EST	1.00.20		kernel.cpp		Added last-gen of loading systems
2023 Oct. 31 01:57 PM EST	1.00.20		Makefile		Compiled keyboard.o
